Nome,Rodada,Minutos,Gols,Finalizações,Passe Certo,Passe Errado,Assistências,Interceptações,Defesas,Gols Contra,Erros,Bumps,Bumped,Team Bumps
KING DEREK 🏆,1,14:01,1,6,5,0,0,2,0,0,0,69,65,13
123,1,08:01,1,8,0,0,2,2,1,0,0,32,44,0
Jóannes Bjartalíð,1,14:01,3,6,5,1,0,9,2,1,1,97,69,13
Paranoid,1,14:01,1,12,6,1,3,15,6,2,4,63,60,17
BEASTCUNHA,1,14:01,3,12,2,3,1,7,2,0,2,70,72,17
Bullツ,1,14:01,1,9,3,1,1,8,2,0,0,60,75,10
Lyones,1,14:01,4,8,5,1,0,9,4,0,0,58,72,18
Verón ! Legend,1,14:01,2,7,3,1,1,6,3,0,0,76,64,15
philco !,1,6:03,0,3,2,0,0,1,2,0,0,18,26,9
DuKe,1,09:16,0,2,2,1,0,6,3,1,0,30,52,10
Zeno,1,12:03,0,2,6,2,1,10,4,0,2,62,57,7
COXA,1,12:03,1,1,2,0,0,2,2,0,1,52,75,8
Logout,1,08:15,1,6,2,0,0,3,0,1,0,47,28,10
klmn,1,12:03,2,9,2,1,0,4,2,0,0,63,50,13
ptt,1,12:03,2,4,5,1,0,5,2,0,0,62,47,13
Atal,1,11:34,1,8,4,0,2,7,1,0,0,60,55,19
Couti,1,6:01,1,5,1,1,0,3,0,0,0,26,25,7
edurdo maiadona,1,14:03,4,9,4,2,0,8,4,0,1,55,41,9
João Gomes,1,6:01,2,6,2,0,0,2,0,2,0,29,25,5
Spider Man,1,6:01,0,1,1,0,1,2,1,0,0,27,19,5
Goes,1,14:03,1,8,7,3,1,7,1,0,3,50,51,12
Jaymán CanoPark,1,14:03,5,9,0,3,1,17,0,1,2,70,71,8
Kevin Gameiro,1,14:03,5,8,3,1,2,6,3,0,0,37,74,10
cesar augustiiM,1,6:01,1,6,3,3,3,4,0,0,0,22,23,5
Juze,1,11:16,3,13,0,0,1,5,0,0,2,64,49,7
Joseluis,1,11:16,7,11,4,3,3,7,1,0,1,35,40,13
wsk,1,11:16,7,10,4,3,1,7,0,0,1,67,45,12
Pistoleiro,1,11:16,2,7,3,2,1,2,2,0,0,58,51,13
flashback,1,06:20,5,8,2,1,1,5,0,0,3,22,35,6
sholbol,1,11:16,1,4,0,0,0,5,4,0,2,54,61,10
yun,1,11:16,1,6,0,0,1,7,1,0,0,43,44,10
kateto 87,1,11:16,2,3,3,2,0,5,1,0,2,49,67,10
Mz,1,1:57,0,0,0,0,0,2,0,0,2,9,5,0
Mello!⚡,1,1:53,0,0,0,0,0,0,0,0,0,12,5,0
Delyrio Show,1,1:57,0,0,1,1,0,0,0,0,0,12,10,1
Shelby.,1,0:04,0,0,0,0,0,0,0,0,0,0,0,0
Kcol Spac,1,06:58,4,11,3,0,2,4,0,0,0,24,36,2
Jat Stronda,1,1:57,1,2,0,0,2,2,0,0,0,6,12,1
henry / TDL,1,1:57,1,3,0,0,0,0,0,0,0,5,11,2
oxala,1,6:00,3,8,2,0,1,6,0,0,1,22,26,0
bb,1,3:42,1,5,3,0,0,2,1,0,0,19,15,8
relampago ⚡,1,0:34,1,1,1,0,0,0,0,0,0,1,1,2
{S/N} M.Montolivo#I8,1,6:00,2,8,2,0,1,1,2,2,1,16,29,4
Veve,1,2:47,0,0,1,0,1,4,0,0,1,18,13,2
Camel,1,08:02,0,4,2,1,1,5,0,0,1,39,39,6
TWS | SHEIKAO,1,14:03,2,7,2,2,0,16,0,0,1,83,50,18
DINO - ESMERALDINO,1,08:02,2,2,2,0,0,2,0,1,0,39,41,6
mangalove,1,08:02,1,3,2,0,2,4,0,0,1,35,38,7
♥ Pick,1,4:56,1,5,4,0,0,5,0,0,4,17,17,5
Japones,1,5:01,1,7,2,1,1,4,0,0,2,25,17,1
mat,1,5:01,1,2,1,0,0,1,1,0,0,27,19,3
kelv,1,5:01,1,8,1,1,1,2,0,0,1,30,24,5
felps,1,5:01,3,4,1,2,1,3,1,1,1,23,29,4
Chavo,1,5:01,1,3,1,0,0,3,1,0,0,22,27,5
